movie_id,name,release_date,release_year,imdb_id
360,Bheja Fry,2007-04-13,2007,tt1014672
361,Bas Ek Pal,2006-09-15,2006,tt0808164
362,Gangster - A Love Story,2006-04-28,2006,
363,Humko Deewana Kar Gaye,2006-04-14,2006,tt0444840
364,Kabhi Alvida Na Kehna,2006-08-11,2006,tt0449999
365,Kabul Express,2006-12-15,2006,tt0770214
366,Malamaal Weekly,2006-03-10,2006,tt0476805
367,Phir Hera Pheri,2006-06-09,2006,tt0419058
368,Pyaar Ke Side Effects,2006-09-22,2006,tt0480572
369,Rang De Basanti,2006-01-26,2006,tt0405508
370,Saawan... The Love Season,2006-04-07,2006,tt0470521
371,Shaadi Se Pehle,2006-04-07,2006,tt0489560
372,Shiva,2006-11-15,2006,tt0831816
373,Tathastu,2006-05-12,2006,tt0444915
374,Taxi Number 9 2 11,2006-02-24,2006,
375,The Killer,2006-07-21,2006,tt0833484
376,Tom Dick and Harry,2006-05-12,2006,tt0476888
377,Umrao Jaan,2006-11-03,2006,tt0485522
378,Vivah,2006-11-10,2006,tt0494290
379,Zinda,2006-01-13,2006,tt0488906
380,Zindaggi Rocks,2006-10-06,2006,tt0823261
381,Jaan-E-Mann,2006-10-20,2006,
382,Mere Jeevan Saathi,2006-02-03,2006,tt0418880
383,Jawani Diwani - A Youtful Joyride,2006-01-06,2006,tt0485466
384,Krrish,2006-06-23,2006,tt0432637
385,Shaadi Karke Phas Gaya Yaar,2006-08-04,2006,tt0430589
386,Sandwich,2006-08-25,2006,tt0430202
387,Khosla Ka Ghosla,2006-09-22,2006,tt0466460
388,Ek Thi Daayan,2013-04-19,2013,tt2406676
389,No Entry,2005-08-26,2005,tt0451833
390,Bunty Aur Babli,2005-05-27,2005,tt0448206
391,Mangal Pandey - The Rising,2005-08-12,2005,tt0346457
392,Garam Masala,2005-11-02,2005,tt0453671
393,Maine Pyaar Kyun Kiya?,2005-07-15,2005,tt0451803
394,Dus,2005-07-08,2005,tt0415768
395,Salaam Namaste,2005-09-09,2005,tt0456165
396,Sarkar,2005-07-01,2005,tt0432047
397,Waqt - The Race Against Time,2005-04-22,2005,tt0390614
398,Kaal,2005-04-29,2005,tt0415908
399,Black,2005-02-04,2005,tt0375611
400,Bewafaa,2005-02-25,2005,tt0363472
401,Lucky - No Time for Love,2005-04-01,2005,tt0449306
402,Deewane Huye Paagal,2005-11-25,2005,tt0444781
403,Kyaa Kool Hai Hum,2005-05-06,2005,tt0456500
404,Parineeta,2005-06-10,2005,tt0437407
405,Kyon Ki,2005-11-03,2005,tt0451787
406,Paheli,2005-06-24,2005,tt0451850
407,Shaadi No. 1,2005-11-03,2005,tt0449389
408,Barsaat,2005-08-19,2005,
409,Jo Bole So Nihaal,2005-05-13,2005,tt0436451
410,Elaan,2005-01-14,2005,tt0416712
411,Viruddh... Family Comes First,2005-07-22,2005,tt0420304
412,Kisna,2005-01-21,2005,
413,Zeher,2005-03-25,2005,tt0451983
414,Tango Charlie,2005-03-25,2005,tt0444913
415,D,2005-06-03,2005,tt0454435
416,Socha Na Tha,2005-03-04,2005,tt0451919
417,Page 3,2005-01-21,2005,tt0443708
418,Yahaan,2005-07-29,2005,
419,Iqbal,2005-08-26,2005,tt0453729
420,Chocolate,2005-09-23,2005,
421,Kalyug,2005-12-09,2005,tt0499041
422,Sehar,2005-07-29,2005,tt0477857
423,Vaah! Life Ho Toh Aisi!,2005-12-23,2005,tt0475645
424,Insan,2005-01-14,2005,tt0438875
425,Silsiilay,2005-06-17,2005,tt0438981
426,Shabd,2005-02-04,2005,tt0409527
427,Main Aisa Hi Hoon,2005-05-06,2005,tt0444874
428,My Wife's Murder,2005-08-19,2005,tt0451824
429,Mr Ya Miss,2005-12-02,2005,
430,Vaada,2005-01-07,2005,tt0442855
431,Zameer - The Fire Within,2005-02-18,2005,
432,Ek Khiladi Ek Haseena,2005-11-18,2005,tt0461209
