imdb_id,title,year,rating,votes
tt0363921,Raeeszada,1990,3.8,21
tt3173614,Farmaish,1953,-,-
tt3717810,Rasmon Ki Zanjeer,1999,-,-
tt0378071,Hum Tere Ashiq Hain,1979,6.6,23
tt0156309,Azadi-e-Watan,1940,-,-
tt0178211,Ab Ayega Mazaa,1984,6.6,85
tt3848246,Rakhail No 1,2001,-,-
tt0243333,Insaaf Main Karoonga,1985,6.8,36
tt0395480,Boy Friend,1993,4.9,7
tt4357594,Kanoon Ka Sikandar,2001,-,-
tt0252255,Bade Sahab,1951,-,-
tt11599966,Pagleaazam,2020,6.3,9
tt0268146,Anurodh,1977,6.8,157
tt10137310,HARJEET,2000,-,-
tt0150718,Gharaonda,1977,6.9,190
tt0373982,Kora Anchal,1973,-,-
tt0237587,Poonam,1981,5.2,18
tt0152278,Sanam,1997,4.8,84
tt3509400,Sunehari Yaaden,1980,-,-
tt0257210,Suvarna Sundari,II 1957,7.1,15
tt9445180,Karma 1935,1935,-,-
tt0222270,Phir Bhi Dil Hai Hindustani,2000,6.2,"6,985"
tt0243552,Shatranj Ke Mohre,1974,-,-
tt0383904,Balidaan,1935,-,-
tt0395622,Khoon Ka Sindoor,1993,-,-
tt2909052,Aaj Ka Shahen Shah,1997,-,-
tt0231207,Azad Abla,1935,-,-
tt0444840,Humko Deewana Kar Gaye,2006,5.2,"3,941"
tt0945349,Jaana... Let's Fall in Love,2006,5.7,34
tt0154381,Danger Signal,1937,-,-
tt9592292,Hitlist,2006,-,-
tt0157141,Uski Kahani,1966,-,-
tt0384916,Dil Aur Patthar,1977,-,-
tt0156655,Jung Aur Aman,1968,5.1,8
tt3816394,Ladki Jawan Padosi Pareshan,2001,-,-
tt0049822,Taj,1956,6.6,7
tt0177494,Aaj Ka Farhad,1948,-,-
tt5140144,Bumbai Bird,2017,-,-
tt0102119,Indrajeet,1991,4.5,254
tt7257894,Ishq Samandar,2016,-,-
tt0384223,Jaanbaaz Mallika,1936,-,-
tt2066062,Shortcut Romeo,2013,2.3,248
tt0361776,Jeevan Swapna,1946,-,-
tt6237524,Jab Pyar Hua,1985,-,-
tt4556848,Barkhaa,2015,5.1,311
tt4882524,Golden Boys,2007,-,-
tt0395675,Naami Chor,1977,5.8,5
tt0157175,Watan,1954,-,-
tt3466966,Naag Mohini,1963,-,-
tt0367918,Kabeela,1976,6.5,19
tt0432920,Laharen,1953,-,-
tt8371204,Lihaaf: The Quilt,2019,6.7,24
tt4318386,Jail Queens,2004,-,-
tt0267639,Khota Paisa,1958,4.7,7
tt0175448,Apna Desh,1972,6.4,106
tt0368196,Rani Rupmati,1959,5.8,24
tt0233522,Darwaza,1954,-,-
tt0379299,Geet Gaaya Pattharon Ne,1964,6.4,91
tt2009480,Gautam Govinda,2002,2.9,10
